userName,score,at,content
Hadi Andriani,1,2024-09-29 12:47:45,Ini mau login tapi kode yang di kirim cuma 5 sedangkan kotak permintaan kode nya ada 6 ini maksud nya gimana tolong bantu
Nursha 1602,1,2024-09-29 12:46:50,"Untuk login saja susah ,kode verifikasi sampai beribu kali ber jam nunggu ,instal ulang saja tetap tidak masuk2 kodenya😓"
Dayat Mr09,1,2024-09-29 12:46:23,Tolol
Rajin Turu 亗,3,2024-09-29 12:38:18,tolong untuk kode otp di perbaiki soalnya saya mau masuk tidak dapat kode otp juga untuk lewat panggilan ga bisa
Sarita Sinaga,5,2024-09-29 12:38:04,Mantap
Rahman Ramsey,2,2024-09-29 12:34:05,Susah login
Bismar Maraganti,1,2024-09-29 12:32:37,"Telegram payah, Kenapa akun saya di Banned? This Phone Banned Why? Saya tidak ada melakukan Spam atau Hacking. Mengapa Akun Telegram saya Harus di Banned?"
dilzx aja,1,2024-09-29 12:27:16,"aplikasi apaan ini, mau login susah banget, kasik masuk email sama nomor telepon, minta kode di email bisa, tapi minta kode di nomor telpon susah banget, mending tutup aja laahh"
JULIANTH FC,1,2024-09-29 12:22:36,"Sangat mengecewakan. Aplikasi ini sepertinya rusak, dia tidak mengirimi saya kode verifikasi dengan banyak nomor yang saya gunakan"
Muhammad Fahri,1,2024-09-29 12:22:36,Apk jelek bgt
Khoirul Mansur,1,2024-09-29 12:20:46,Kode sms nomor kartu selalu gk di kirim.. Mengecewakan
Mhmd Fahruroji,1,2024-09-29 12:19:53,Ga ada kode verif loginnya mulu najisss aplikasi sampah.
Sarada Uciha,1,2024-09-29 12:18:44,apk cacat susah login
Hijrotun Nafiin,1,2024-09-29 12:17:59,Kenapa tidak bisa login 😪
Fan fhaNol,1,2024-09-29 12:11:12,"Udah download tp kok gak bisa nrima otp , padahal no sudah benar.. sudah diulang2 tp tetep gak bisa"
alucard strikers,1,2024-09-29 12:03:46,"aplikasi gaje 2× ganti nomer belum apa apa di nomernya langsung di blokir padahal engga ngapa""in jir 🤣🤣🤣🤣"
Fashul Hadzik,1,2024-09-29 12:03:02,"Padahal dah ku belikan nomor baru, tapi kok udah ke daftar di telegram, kode nya malah dikirim di telegram, ya gimana cara liatnya!!!"
